frase,situacao
sinto dor no peito e falta de ar,alto risco
estou com uma dor forte no peito que não passa,alto risco
tenho dor no peito que piora ao respirar,alto risco
acordei com dor intensa no peito e tontura,alto risco
sinto pressão no peito e dificuldade para respirar,alto risco
tive um desmaio repentino e dor no peito,alto risco
tenho falta de ar mesmo em repouso,alto risco
não consigo respirar direito e sinto aperto no peito,alto risco
sinto falta de ar e suor frio,alto risco
minha respiração está curta e sinto dor no peito,alto risco
senti uma forte tontura e quase desmaiei,alto risco
estou tonto e com visão escurecendo,alto risco
tive um desmaio e acordei confuso,alto risco
me sinto muito tonto e fraco de repente,alto risco
minha cabeça gira e sinto que vou desmaiar,alto risco
tive um sangramento intenso e contínuo,alto risco
estou sangrando muito e não para,alto risco
senti uma hemorragia forte após uma queda,alto risco
meu nariz sangra sem parar há muito tempo,alto risco
houve muito sangue após o ferimento,alto risco
tenho uma dor abdominal muito forte,alto risco
a dor no abdômen é intensa e constante,alto risco
sinto pontadas fortes na barriga,alto risco
tenho dor abdominal aguda e náusea,alto risco
a dor na parte inferior da barriga é insuportável,alto risco
a dor no abdômen apareceu de repente e está piorando,alto risco
sinto dor no peito e desmaiei,alto risco
tive dor forte no abdômen e falta de ar,alto risco
meu corpo está fraco e tenho muita dor no peito,alto risco
não consigo respirar direito e sinto muita dor,alto risco
a dor abdominal é tão forte que não consigo andar,alto risco
tive sangramento intenso e fraqueza,alto risco
tive dor forte no peito e transpiração excessiva,alto risco
a dor no peito se espalha para o braço esquerdo,alto risco
estou suando frio e com dor intensa no peito,alto risco
a dor no abdômen me faz querer vomitar,alto risco
tive um desmaio e acordei com dor abdominal,alto risco
a dor no peito piora ao esforço,alto risco
sinto dor intensa e falta de ar desde ontem,alto risco
não consigo respirar e sinto pressão no peito,alto risco
tive um sangramento forte após o acidente,alto risco
me sinto muito tonto e com falta de ar,alto risco
a dor abdominal é muito forte e constante,alto risco
tive um desmaio e acordei suando frio,alto risco
a dor no peito é muito forte e não melhora,alto risco
sinto dor abdominal aguda e fraqueza,alto risco
não consigo respirar e sinto dor no peito,alto risco
a dor no peito começou de repente e é intensa,alto risco
estou com dor forte no abdômen e tontura,alto risco
tenho dor leve nas costas,baixo risco
senti um leve incômodo nas costas,baixo risco
acordei com dor leve na lombar,baixo risco
tenho dorzinha nas costas quando fico muito tempo sentado,baixo risco
minhas costas estão um pouco doloridas,baixo risco
tive dor nas costas após carregar peso,baixo risco
sinto dor leve nas costas quando me movimento,baixo risco
minha lombar está um pouco dolorida,baixo risco
sinto desconforto leve nas costas,baixo risco
tenho leve dor nas costas desde ontem,baixo risco
estou com dor de cabeça leve,baixo risco
tive dor de cabeça fraca hoje de manhã,baixo risco
sinto um incômodo leve na cabeça,baixo risco
minha cabeça está doendo de leve,baixo risco
acordei com uma dorzinha de cabeça,baixo risco
sinto dor leve na testa,baixo risco
a dor de cabeça é leve e passageira,baixo risco
tenho dor de cabeça fraca ao final do dia,baixo risco
a dor de cabeça aparece às vezes,baixo risco
tive uma dor de cabeça leve após o almoço,baixo risco
estou espirrando e com coriza,baixo risco
tive nariz escorrendo e espirros,baixo risco
meu nariz está entupido e espirrando,baixo risco
tive sintomas leves de resfriado,baixo risco
sinto um leve desconforto no nariz,baixo risco
tive coriza e leve dor de garganta,baixo risco
sinto espirros e nariz escorrendo,baixo risco
tive espirros e coceira no nariz,baixo risco
estou com coriza leve,baixo risco
tenho espirros ocasionais,baixo risco
estou um pouco cansado,baixo risco
sinto cansaço leve,baixo risco
tive um leve cansaço após caminhar,baixo risco
me sinto um pouco sem energia,baixo risco
acordei cansado mas estou bem,baixo risco
tenho cansaço leve ao final do dia,baixo risco
me sinto levemente cansado hoje,baixo risco
sinto um leve cansaço físico,baixo risco
me sinto cansado após o trabalho,baixo risco
tive cansaço leve ontem,baixo risco
sinto náusea leve,baixo risco
tive um leve enjoo,baixo risco
acordei enjoado mas passou rápido,baixo risco
me sinto um pouco nauseado,baixo risco
tive uma leve náusea após comer,baixo risco
senti enjoo leve durante o dia,baixo risco
tive náusea fraca ontem à noite,baixo risco
me sinto enjoado de leve,baixo risco
tive náusea passageira,baixo risco
sinto leve enjoo após comer doce,baixo risco
