Sintoma 1,Sintoma 2,Doença Associada
dor no peito,aperto no tórax,Infarto agudo do miocárdio
falta de ar,dispneia,Angina/Isquemia miocárdica
cansaço constante,fadiga,Insuficiência cardíaca
inchaço nos tornozelos,edema periferico,Insuficiência cardíaca
palpitações,taquicardia,Arritmia
batimentos irregulares,arritmia,Fibrilação atrial (suspeita)
dor que irradia para o braço esquerdo,suor frio,Infarto agudo do miocárdio
dor em queimação após refeições,refluxo,DRGE (diferencial não cardíaco)
pressão no tórax,pressão no peito,Angina/Isquemia miocárdica
falta de ar ao deitar,ortopneia,Insuficiência cardíaca
cansaço extremo,astenia,Insuficiência cardíaca
dor aguda no peito,náusea,Infarto agudo do miocárdio
suor excessivo,diaforese,Infarto agudo do miocárdio
coração batendo forte,taquicardia,Arritmia
tosse persistente,catarro rosa,Insuficiência cardíaca
dificuldade para respirar,dispneia de esforço,Insuficiência cardíaca
dor no peito ao respirar,dor pleurítica,Pericardite
tontura,síncope,Arritmia
desmaio iminente,pré-síncope,Arritmia
ganho de peso rápido,retenção de líquidos,Insuficiência cardíaca
pressão no pescoço,ingurgitamento jugular,Insuficiência cardíaca
falta de ar noturna,dispneia paroxística noturna,Insuficiência cardíaca
